time, color, angle, distance, speed, color_dev, color_int, color_der, speed_dev, speed_int, speed_der
0, 14, -22.8, 885, 616.5, -19.0, -19.0, -19.0, 685, 685.0000000000001, 685.0000000000001
51, 15, -14.0, 878, 404.7, -18.0, -37.0, 1.0, 678, 1363.0, -7
101, 14, -17.5, 878, 406.8000000000001, -19.0, -56.00000000000001, -1.0, 678, 2041.0, 0
154, 15, -17.7, 877, 405.9, -18.0, -74.0, 1.0, 677, 2718.0, -1
212, 22, -11.6, 877, 406.2, -11.0, -85.0, 7.0, 677, 3395.0, 0
270, 36, 0.5999999999999988, 873, 402.6000000000001, 3.0, -82.00000000000001, 14.0, 673, 4068.000000000001, -4
325, 52, 13.1, 855, 387.6, 19.0, -63.00000000000001, 16.0, 655, 4723.000000000001, -18
379, 61, 17.8, 841, 380.4, 28.0, -35.0, 9.0, 641, 5364.000000000001, -14
432, 53, 6.5, 832, 376.5, 20.0, -15.0, -8.0, 632, 5996.0, -9
482, 46, 4.1, 826, 373.8, 13.0, -2.0, -7.0, 626, 6622.0, -6
538, 41, 2.9, 810, 361.2, 8.0, 6.0, -5.0, 610, 7232.000000000001, -16
588, 38, 2.6, 812, 367.8, 5.0, 11.0, -3.0, 612, 7844.0, 2
642, 33, -1.4, 796, 352.8, 0.0, 11.0, -5.0, 596, 8440.000000000001, -16
696, 32, -0.1, 757, 322.5, -1.0, 10.0, -1.0, 557, 8997.0, -39
746, 28, -4.5, 780, 354.9, -5.0, 5.0, -4.0, 580, 9577.0, 23
801, 32, 1.8, 780, 348.0, -1.0, 4.0, 4.0, 580, 10157.0, 0
858, 38, 6.9, 756, 326.4, 5.0, 9.0, 6.0, 556, 10713.0, -24
909, 43, 10.4, 756, 333.6, 10.0, 19.0, 5.0, 556, 11269.0, 0
963, 36, 0.5, 561, 158.1, 3.0, 22.0, -7.0, 361, 11630.0, -195
1018, 28, -5.3, 742, 379.5, -5.0, 17.0, -8.0, 542, 12172.0, 181
1077, 23, -7.8, 728, 312.6, -10.0, 7.0, -5.0, 528, 12700.0, -14
1128, 24, -5.1, 705, 296.1, -9.0, -2.0, 1.0, 505, 13205.0, -23
1181, 29, -0.5, 720, 316.5, -4.0, -6.0, 5.0, 520, 13725.0, 15
1239, 35, 3.8, 721, 312.9, 2.0, -4.0, 6.0, 521, 14246.0, 1
1292, 32, -2.6, 685, 280.2, -1.0, -5.0, -3.0, 485, 14731.0, -36
1350, 33, 0.0, 696, 300.9, 0.0, -5.0, 1.0, 496, 15227.0, 11
1407, 38, 5.5, 679, 282.3, 5.0, 0.0, 5.0, 479, 15706.0, -17
1458, 38, 3.5, 677, 285.6, 5.0, 5.0, 0.0, 477, 16183.0, -2
1512, 37, 2.8, 677, 286.2, 4.0, 9.0, -1.0, 477, 16660.0, 0
1572, 30, -4.699999999999999, 660, 270.9, -3.0, 6.0, -7.0, 460, 17120.0, -17
1630, 32, 0.9, 660, 276.0, -1.0, 5.0, 2.0, 460, 17580.0, 0
1684, 34, 2.2, 639, 257.1, 1.0, 6.0, 2.0, 439, 18019.0, -21
1738, 35, 2.5, 649, 272.4, 2.0, 8.0, 1.0, 449, 18468.0, 10
1791, 37, 4.6, 649, 269.4, 4.0, 12.0, 2.0, 449, 18917.0, 0
1848, 37, 4.0, 670, 288.3, 4.0, 16.0, 0.0, 470, 19387.0, 21
1905, 31, -2.8, 660, 273.0, -2.0, 14.0, -6.0, 460, 19847.0, -10
1959, 29, -2.4, 630, 249.0, -4.0, 10.0, -2.0, 430, 20277.0, -30
2014, 32, 1.8, 626, 254.4, -1.0, 9.0, 3.0, 426, 20703.0, -4
2068, 32, 0.2000000000000001, 618, 248.4, -1.0, 8.0, 0.0, 418, 21121.0, -8
2129, 31, -1.1, 624, 256.2, -2.0, 6.0, -1.0, 424, 21545.0, 6
2182, 29, -3.2, 618, 249.0, -4.0, 2.0, -2.0, 418, 21963.0, -6
2237, 33, 2.2, 605, 239.1, 0.0, 2.0, 4.0, 405, 22368.0, -13
2291, 35, 2.6, 607, 244.8, 2.0, 4.0, 2.0, 407, 22775.0, 2
2347, 34, 0.6000000000000001, 574, 214.5, 1.0, 5.0, -1.0, 374, 23149.0, -33
2399, 32, -1.2, 571, 221.7, -1.0, 4.0, -2.0, 371, 23520.0, -3
2460, 34, 2.1, 554, 207.3, 1.0, 5.0, 2.0, 354, 23874.0, -17
2511, 35, 2.4, 561, 218.7, 2.0, 7.0, 1.0, 361, 24235.0, 7
2563, 36, 3.3, 554, 210.3, 3.0, 10.0, 1.0, 354, 24589.0, -7
2619, 33, -0.5, 555, 213.3, 0.0, 10.0, -3.0, 355, 24944.0, 1
2674, 34, 2.2, 546, 204.9, 1.0, 11.0, 1.0, 346, 25290.0, -9
2728, 35, 3.0, 542, 204.0, 2.0, 13.0, 1.0, 342, 25632.0, -4
2783, 35, 2.7, 538, 201.6, 2.0, 15.0, 0.0, 338, 25970.0, -4
2837, 31, -1.9, 553, 216.3, -2.0, 13.0, -4.0, 353, 26323.0, 15
2892, 28, -3.7, 527, 188.4, -5.0, 8.0, -3.0, 327, 26650.0, -26
2943, 27, -3.899999999999999, 525, 194.4, -6.0, 2.0, -1.0, 325, 26975.0, -2
3000, 31, 0.8, 510, 181.5, -2.0, 0.0, 4.0, 310, 27285.0, -15
3057, 34, 2.2, 511, 186.9, 1.0, 1.0, 3.0, 311, 27596.0, 1
3110, 35, 2.0, 508, 183.9, 2.0, 3.0, 1.0, 308, 27904.0, -3
3161, 33, -0.7, 506, 183.0, 0.0, 3.0, -2.0, 306, 28210.0, -2
3217, 31, -2.1, 499, 177.3, -2.0, 1.0, -2.0, 299, 28509.0, -7
3271, 29, -3.7, 492, 173.1, -4.0, -3.0, -2.0, 292, 28801.0, -7
3327, 31, -0.7, 500, 182.4, -2.0, -5.0, 2.0, 300, 29101.0, 8
3382, 36, 4.1, 490, 171.0, 3.0, -2.0, 5.0, 290, 29391.0, -10
3433, 38, 4.3, 500, 183.0, 5.0, 3.0, 2.0, 300, 29691.0, 10
3492, 35, 0.2, 499, 179.1, 2.0, 5.0, -3.0, 299, 29990.0, -1
3549, 31, -2.9, 500, 180.3, -2.0, 3.0, -4.0, 300, 30290.0, 1
3599, 32, 0.1, 490, 171.0, -1.0, 2.0, 1.0, 290, 30580.0, -10
3650, 34, 1.9, 483, 167.7, 1.0, 3.0, 2.0, 283, 30863.0, -7
3701, 37, 4.6, 474, 161.7, 4.0, 7.0, 3.0, 274, 31137.0, -9
3758, 36, 2.3, 481, 170.7, 3.0, 10.0, -1.0, 281, 31418.0, 7
3812, 28, -6.5, 483, 170.4, -5.0, 5.0, -8.0, 283, 31701.0, 2
3866, 26, -5.4, 475, 162.6, -7.0, -2.0, -2.0, 275, 31976.0, -8
3920, 28, -2.7, 474, 164.1, -5.0, -7.0, 2.0, 274, 32250.0, -1
3977, 35, 4.2, 475, 165.3, 2.0, -5.0, 7.0, 275, 32525.0, 1
4028, 37, 3.3, 475, 165.0, 4.0, -1.0, 2.0, 275, 32800.0, 0
4082, 35, 0.3, 469, 159.6, 2.0, 1.0, -2.0, 269, 33069.0, -6
4133, 35, 1.5, 462, 155.1, 2.0, 3.0, 0.0, 262, 33331.0, -7
4191, 35, 1.7, 471, 165.3, 2.0, 5.0, 0.0, 271, 33602.0, 9
4251, 36, 3.1, 473, 164.4, 3.0, 8.0, 1.0, 273, 33875.0, 2
4305, 35, 1.7, 469, 160.2, 2.0, 10.0, -1.0, 269, 34144.0, -4
4358, 36, 3.6, 455, 148.8, 3.0, 13.0, 1.0, 255, 34399.0, -14
4415, 35, 2.2, 454, 152.1, 2.0, 15.0, -1.0, 254, 34653.0, -1
4469, 33, 0.5, 456, 154.2, 0.0, 15.0, -2.0, 256, 34909.0, 2
4522, 30, -2.1, 439, 138.3, -3.0, 12.0, -3.0, 239, 35148.0, -17
4578, 28, -3.3, 443, 147.0, -5.0, 7.0, -2.0, 243, 35391.0, 4
4632, 31, 0.8, 448, 150.3, -2.0, 5.0, 3.0, 248, 35639.0, 5
4687, 35, 3.9, 439, 140.7, 2.0, 7.0, 4.0, 239, 35878.0, -9
4740, 35, 2.1, 448, 151.5, 2.0, 9.0, 0.0, 248, 36126.0, 9
4797, 36, 3.5, 452, 152.4, 3.0, 12.0, 1.0, 252, 36378.0, 4
4853, 34, 0.9, 448, 147.6, 1.0, 13.0, -2.0, 248, 36626.0, -4
4907, 35, 3.2, 456, 156.0, 2.0, 15.0, 1.0, 256, 36882.0, 8
4965, 33, 0.5, 474, 169.8, 0.0, 15.0, -2.0, 274, 37156.0, 18
5018, 30, -2.1, 464, 155.4, -3.0, 12.0, -3.0, 264, 37420.0, -10
