time, color, angle, distance, speed, color_dev, color_int, color_der, speed_dev, speed_int, speed_der
0, 46, 15.6, 886, 617.3999999999999, 13.0, 13.0, 13.0, 686, 686.0, 686.0
54, 46, 10.4, 886, 411.6, 13.0, 26.0, 0.0, 686, 1372.0, 0
104, 46, 11.7, 886, 411.6, 13.0, 39.0, 0.0, 686, 2058.0, 0
161, 49, 16.6, 880, 406.2, 16.0, 55.0, 3.0, 680, 2738.0, -6
212, 53, 21.5, 879, 407.1, 20.0, 75.0, 4.0, 679, 3417.0, -1
262, 48, 15.5, 878, 406.5, 15.0, 90.0, -5.0, 678, 4095.000000000001, -1
312, 37, 6.300000000000001, 887, 414.9, 4.0, 94.0, -11.0, 687, 4782.0, 9
367, 18, -10.6, 869, 396.0, -15.0, 79.0, -19.0, 669, 5451.000000000001, -18
420, 8, -14.6, 855, 388.8, -25.0, 54.0, -10.0, 655, 6106.000000000001, -14
474, 6, -14.5, 853, 391.2, -27.0, 27.0, -2.0, 653, 6759.0, -2
532, 6, -16.2, 835, 375.6, -27.0, 0.0, 0.0, 635, 7394.0, -18
591, 11, -12.9, 810, 358.5, -22.0, -22.0, 5.0, 610, 8004.000000000001, -25
642, 18, -9.199999999999999, 823, 377.7, -15.0, -37.0, 7.0, 623, 8627.000000000001, 13
700, 28, -2.2, 813, 364.8, -5.0, -42.0, 10.0, 613, 9240.0, -10
751, 35, 0.7000000000000002, 772, 330.9, 2.0, -40.0, 7.0, 572, 9812.000000000001, -41
801, 46, 10.6, 772, 343.2, 13.0, -27.0, 11.0, 572, 10384.0, 0
858, 49, 10.0, 772, 343.2, 16.0, -11.0, 3.0, 572, 10956.0, 0
911, 44, 4.1, 772, 343.2, 11.0, 0.0, -5.0, 572, 11528.0, 0
965, 39, 1.699999999999999, 754, 327.0, 6.0, 6.0, -5.0, 554, 12082.0, -18
1015, 32, -3.6, 726, 307.2, -1.0, 5.0, -7.0, 526, 12608.0, -28
1070, 39, 8.199999999999999, 721, 311.1, 6.0, 11.0, 7.0, 521, 13129.0, -5
1122, 49, 17.3, 718, 309.9, 16.0, 27.0, 10.0, 518, 13647.0, -3
1180, 48, 12.7, 718, 310.8, 15.0, 42.0, -1.0, 518, 14165.0, 0
1234, 36, 0.2999999999999998, 718, 310.8, 3.0, 45.0, -12.0, 518, 14683.0, 0
1291, 26, -5.4, 718, 310.8, -7.0, 38.0, -10.0, 518, 15201.0, 0
1347, 19, -9.5, 740, 330.6, -14.0, 24.0, -7.0, 540, 15741.0, 22
1400, 17, -9.799999999999999, 668, 259.2, -16.0, 8.0, -2.0, 468, 16209.0, -72
1457, 26, 0.3999999999999995, 670, 282.6, -7.0, 1.0, 9.0, 470, 16679.0, 2
1511, 27, -3.6, 712, 319.8, -6.0, -5.0, 1.0, 512, 17191.0, 42
1562, 29, -2.3, 651, 252.3, -4.0, -9.0, 2.0, 451, 17642.0, -61
1617, 33, 1.1, 660, 278.7, 0.0, -9.0, 4.0, 460, 18102.0, 9
1672, 40, 7.5, 662, 277.8, 7.0, -2.0, 7.0, 462, 18564.0, 2
1728, 48, 14.3, 662, 277.2, 15.0, 13.0, 8.0, 462, 19026.0, 0
1785, 39, 1.0, 721, 330.2999999999999, 6.0, 19.0, -9.0, 521, 19547.0, 59
1841, 30, -4.699999999999999, 721, 312.6, -3.0, 16.0, -9.0, 521, 20068.0, 0
1891, 23, -8.9, 721, 312.6, -10.0, 6.0, -7.0, 521, 20589.0, 0
1942, 26, -2.8, 721, 312.6, -7.0, -1.0, 3.0, 521, 21110.0, 0
1992, 29, -1.4, 698, 291.9, -4.0, -5.0, 3.0, 498, 21608.0, -23
2047, 29, -3.3, 643, 249.3, -4.0, -9.0, 0.0, 443, 22051.0, -55
2100, 28, -4.9, 622, 246.9, -5.0, -14.0, -1.0, 422, 22473.0, -21
2153, 33, 1.1, 609, 241.5, 0.0, -14.0, 5.0, 409, 22882.0, -13
2203, 38, 4.6, 609, 245.4, 5.0, -9.0, 5.0, 409, 23291.0, 0
2259, 43, 8.6, 609, 245.4, 10.0, 1.0, 5.0, 409, 23700.0, 0
2310, 45, 9.5, 603, 240.0, 12.0, 13.0, 2.0, 403, 24103.0, -6
2364, 39, 2.5, 597, 236.4, 6.0, 19.0, -6.0, 397, 24500.0, -6
2420, 32, -2.3, 581, 223.8, -1.0, 18.0, -7.0, 381, 24881.0, -16
2481, 31, -0.1, 582, 229.5, -2.0, 16.0, -1.0, 382, 25263.0, 1
2534, 33, 2.6, 572, 220.2, 0.0, 16.0, 2.0, 372, 25635.0, -10
2590, 32, 0.4, 578, 228.6, -1.0, 15.0, -1.0, 378, 26013.0, 6
2645, 31, -0.3999999999999999, 569, 218.7, -2.0, 13.0, -1.0, 369, 26382.0, -9
2700, 27, -4.899999999999999, 563, 216.0, -6.0, 7.0, -4.0, 363, 26745.0, -6
2760, 25, -5.899999999999999, 559, 214.2, -8.0, -1.0, -2.0, 359, 27104.0, -4
2811, 30, 0.3000000000000003, 567, 222.6, -3.0, -4.0, 5.0, 367, 27471.0, 8
2865, 35, 3.5, 542, 197.7, 2.0, -2.0, 5.0, 342, 27813.0, -25
2921, 37, 3.6, 544, 207.0, 4.0, 2.0, 2.0, 344, 28157.0, 2
