time, color, angle, distance, speed, color_dev, color_int, color_der, speed_dev, speed_int, speed_der
0, 25, -8.0, 855, 982.5000000000001, -8.0, -8.0, -8.0, 655, 655.0, 655.0
58, 25, -4.800000000000001, 863, 798.0, -8.0, -16.0, 0.0, 663, 1318.0, 8
111, 23, -7.6, 856, 785.0999999999999, -10.0, -26.0, -2.0, 656, 1974.0, -7
169, 23, -7.6, 856, 787.2, -10.0, -36.0, 0.0, 656, 2630.0, 0
223, 23, -8.600000000000001, 849, 776.6999999999999, -10.0, -46.00000000000001, 0.0, 649, 3279.0, -7
278, 28, -4.600000000000001, 855, 787.8, -5.0, -51.00000000000001, 5.0, 655, 3934.000000000001, 6
331, 35, -0.6000000000000005, 847, 774.0, 2.0, -49.0, 7.0, 647, 4581.0, -8
389, 43, 4.1, 849, 779.4, 10.0, -39.0, 8.0, 649, 5230.0, 2
443, 42, 0.1000000000000001, 841, 766.7999999999999, 9.0, -30.0, -1.0, 641, 5871.0, -8
497, 38, -2.5, 826, 746.7, 5.0, -25.0, -4.0, 626, 6497.0, -15
550, 33, -5.0, 823, 746.7000000000001, 0.0, -25.0, -5.0, 623, 7120.000000000001, -3
605, 33, -2.5, 804, 719.0999999999999, 0.0, -25.0, 0.0, 604, 7724.0, -19
661, 39, 3.5, 800, 718.8, 6.0, -19.0, 6.0, 600, 8324.0, -4
715, 38, 0.1, 796, 713.9999999999999, 5.0, -14.0, -1.0, 596, 8920.0, -4
770, 43, 6.1, 794, 712.2, 10.0, -4.0, 5.0, 594, 9514.000000000001, -2
825, 47, 8.600000000000001, 778, 688.8000000000001, 14.0, 10.0, 4.0, 578, 10092.0, -16
879, 45, 6.000000000000001, 772, 684.6, 12.0, 22.0, -2.0, 572, 10664.0, -6
933, 42, 5.2, 766, 677.4, 9.0, 31.0, -3.0, 566, 11230.0, -6
989, 34, -0.3999999999999999, 756, 664.1999999999999, 1.0, 32.0, -8.0, 556, 11786.0, -10
1047, 24, -6.3, 756, 667.2, -9.0, 23.0, -10.0, 556, 12342.0, 0
1098, 21, -5.200000000000001, 754, 664.1999999999999, -12.0, 11.0, -3.0, 554, 12896.0, -2
1153, 20, -5.9, 754, 664.8, -13.0, -2.0, -1.0, 554, 13450.0, 0
1208, 18, -8.699999999999999, 744, 649.7999999999999, -15.0, -17.0, -2.0, 544, 13994.0, -10
1259, 21, -6.200000000000001, 744, 652.8, -12.0, -29.0, 3.0, 544, 14538.0, 0
1313, 28, -1.9, 728, 628.8000000000001, -5.0, -34.0, 7.0, 528, 15066.0, -16
1370, 37, 3.1, 730, 636.6000000000001, 4.0, -30.0, 9.0, 530, 15596.0, 2
1424, 40, 2.0, 714, 612.0, 7.0, -23.0, 3.0, 514, 16110.0, -16
1479, 39, 0.2000000000000002, 712, 613.8, 6.0, -17.0, -1.0, 512, 16622.0, -2
1533, 33, -4.7, 702, 599.4, 0.0, -17.0, -6.0, 502, 17124.0, -10
1595, 32, -2.7, 697, 594.9, -1.0, -18.0, -1.0, 497, 17621.0, -5
1648, 36, 1.7, 689, 584.4, 3.0, -15.0, 4.0, 489, 18110.0, -8
1702, 40, 4.0, 677, 568.8, 7.0, -8.0, 4.0, 477, 18587.0, -12
1758, 44, 6.7, 664, 552.9, 11.0, 3.0, 4.0, 464, 19051.0, -13
1811, 44, 5.800000000000001, 662, 553.7999999999999, 11.0, 14.0, 0.0, 462, 19513.0, -2
1865, 44, 6.9, 660, 551.4, 11.0, 25.0, 0.0, 460, 19973.0, -2
1918, 40, 4.0, 662, 555.0, 7.0, 32.0, -4.0, 462, 20435.0, 2
1973, 32, -1.3, 644, 527.4, -1.0, 31.0, -8.0, 444, 20879.0, -18
2028, 24, -5.4, 641, 528.2999999999999, -9.0, 22.0, -8.0, 441, 21320.0, -3
2081, 21, -5.300000000000001, 634, 518.6999999999999, -12.0, 10.0, -3.0, 434, 21754.0, -7
2135, 20, -6.0, 626, 508.8, -13.0, -3.0, -1.0, 426, 22180.0, -8
2190, 21, -5.800000000000001, 622, 505.2, -12.0, -15.0, 1.0, 422, 22602.0, -4
2245, 27, -1.5, 616, 497.4, -6.0, -21.0, 6.0, 416, 23018.0, -6
2299, 35, 2.9, 597, 470.7, 2.0, -19.0, 8.0, 397, 23415.0, -19
2355, 37, 1.1, 595, 473.4, 4.0, -15.0, 2.0, 395, 23810.0, -2
2410, 38, 1.5, 586, 460.5, 5.0, -10.0, 1.0, 386, 24196.0, -9
2468, 33, -3.5, 590, 469.2, 0.0, -10.0, -5.0, 390, 24586.0, 4
2519, 30, -4.0, 580, 453.0, -3.0, -13.0, -3.0, 380, 24966.0, -10
2573, 29, -3.8, 574, 447.0, -4.0, -17.0, -1.0, 374, 25340.0, -6
2627, 32, -0.7000000000000002, 536, 391.8, -1.0, -18.0, 3.0, 336, 25676.0, -38
2679, 36, 1.7, 527, 389.7, 3.0, -15.0, 4.0, 327, 26003.0, -9
2733, 38, 2.0, 563, 446.4, 5.0, -10.0, 2.0, 363, 26366.0, 36
2788, 38, 1.5, 553, 420.6, 5.0, -5.0, 0.0, 353, 26719.0, -10
2842, 44, 8.0, 509, 357.6000000000001, 11.0, 6.0, 6.0, 309, 27028.0, -44
2898, 45, 7.100000000000001, 488, 339.3, 12.0, 18.0, 1.0, 288, 27316.0, -21
2952, 40, 2.800000000000001, 479, 332.1, 7.0, 25.0, -5.0, 279, 27595.0, -9
3008, 31, -3.0, 481, 337.8, -2.0, 23.0, -9.0, 281, 27876.0, 2
3062, 24, -5.7, 469, 319.2, -9.0, 14.0, -7.0, 269, 28145.0, -12
3119, 21, -6.100000000000001, 460, 309.3, -12.0, 2.0, -3.0, 260, 28405.0, -9
3175, 25, -1.8, 454, 303.0, -8.0, -6.0, 4.0, 254, 28659.0, -6
3231, 35, 5.4, 454, 304.8, 2.0, -4.0, 10.0, 254, 28913.0, 0
3288, 41, 6.6, 446, 292.8, 8.0, 4.0, 6.0, 246, 29159.0, -8
3342, 35, -1.6, 439, 284.7, 2.0, 6.0, -6.0, 239, 29398.0, -7
3393, 29, -4.4, 439, 286.8, -4.0, 2.0, -6.0, 239, 29637.0, 0
3449, 24, -6.8, 437, 283.8, -9.0, -7.0, -5.0, 237, 29874.0, -2
3503, 27, -2.2, 428, 270.9, -6.0, -13.0, 3.0, 228, 30102.0, -9
3561, 32, 0.6999999999999997, 431, 278.1, -1.0, -14.0, 5.0, 231, 30333.0, 3
3615, 34, 0.1, 433, 280.2, 1.0, -13.0, 2.0, 233, 30566.0, 2
3669, 32, -2.8, 427, 270.6, -1.0, -14.0, -2.0, 227, 30793.0, -6
3720, 25, -8.9, 420, 261.9, -8.0, -22.0, -7.0, 220, 31013.0, -7
3777, 26, -5.200000000000001, 416, 258.0, -7.0, -29.0, 1.0, 216, 31229.0, -4
3828, 25, -7.4, 418, 262.2, -8.0, -37.0, -1.0, 218, 31447.0, 2
3879, 45, 12.3, 416, 258.6, 12.0, -25.0, 20.0, 216, 31663.0, -2
3936, 49, 7.5, 410, 250.2, 16.0, -9.0, 4.0, 210, 31873.0, -6
3988, 46, 4.100000000000001, 408, 249.0, 13.0, 4.0, -3.0, 208, 32081.0, -2
4045, 41, 1.9, 403, 242.1, 8.0, 12.0, -5.0, 203, 32284.0, -5
4100, 38, 2.2, 403, 243.6, 5.0, 17.0, -3.0, 203, 32487.0, 0
4155, 42, 8.199999999999999, 392, 227.1, 9.0, 26.0, 4.0, 192, 32679.0, -11
4209, 39, 4.100000000000001, 410, 257.4, 6.0, 32.0, -3.0, 210, 32889.0, 18
4263, 30, -2.8, 393, 226.5, -3.0, 29.0, -9.0, 193, 33082.0, -17
4318, 26, -2.6, 393, 231.6, -7.0, 22.0, -4.0, 193, 33275.0, 0
4372, 18, -9.300000000000001, 393, 231.6, -15.0, 7.0, -8.0, 193, 33468.0, 0
4427, 16, -8.800000000000001, 391, 228.6, -17.0, -10.0, -2.0, 191, 33659.0, -2
4481, 32, 6.5, 391, 229.2, -1.0, -11.0, 16.0, 191, 33850.0, 0
4535, 42, 8.4, 391, 229.2, 9.0, -2.0, 10.0, 191, 34041.0, 0
4592, 42, 4.3, 392, 230.7, 9.0, 7.0, 0.0, 192, 34233.0, 1
4648, 31, -5.8, 399, 240.9, -2.0, 5.0, -11.0, 199, 34432.0, 7
4702, 27, -4.5, 399, 238.8, -6.0, -1.0, -4.0, 199, 34631.0, 0
